feature_name,feature_class,prim_lat_dec,prim_long_dec
Deer Creek,Stream,39.2221287,-120.1993618
Deerhorn Mountain,Summit,36.7129628,-118.4104496
Dennis Canyon,Valley,38.6849315,-120.3702069
Dennis Spring,Spring,38.6939722,-120.369583
Devils Gate,Gap,38.4140833,-119.1707072
Devils Gate,Gap,38.3496383,-119.3776615
Devils Peak,Summit,39.028857,-120.2912482
Devils Peak,Summit,39.2826237,-120.4405351
Diamond Creek,Stream,38.7196265,-120.5029795
Diamond Valley,Valley,38.7784813,-119.757898
Dicks Lake,Lake,38.9119459,-120.142982
Dicks Pass,Gap,38.9051855,-120.1351868
Dicks Peak,Summit,38.9004581,-120.1509004
Dirty Gulch,Valley,38.1970793,-120.5155093
Disappointment Peak,Summit,37.0679033,-118.4675575
Disaster Peak,Summit,38.4487431,-119.7336662
Dixon Creek,Stream,38.5607415,-119.704064
Doe Canyon,Valley,38.2896205,-119.4365114
Dog Creek,Stream,36.9449396,-118.6914918
Dog Creek,Stream,36.7777279,-119.6401375
Dolly Creek,Stream,39.1454606,-120.4024219
Dome Two,Summit,38.6937909,-119.5875285
Domingo Peak,Summit,37.785984,-120.3307567
Donner Creek,Stream,39.3160174,-120.19992
Dore Pass,Gap,37.9852016,-119.2618215
Lake Doris,Lake,38.9053522,-120.1959794
Dorothy Lake Pass,Gap,38.1807501,-119.5818365
Double Trough Spring,Spring,36.5641626,-119.0571955
Doud Hill,Summit,38.2122448,-120.3365482
Douglas Creek,Stream,38.3376897,-119.7801772
Dragon Gulch,Valley,37.9838854,-120.3921699
Drum Valley,Basin,36.6399484,-119.1281671
Dry Canyon,Valley,38.8235515,-119.7983679
Dry Creek,Stream,38.2921387,-119.4382198
Dry Creek,Lake,37.0483065,-120.0704893
Dry Meadow Creek,Stream,38.1868628,-120.1440776
Dry Valley,Valley,36.612703,-119.0068813
Duck Creek,Stream,38.4429673,-120.0046296
Duck Lake,Lake,36.9925299,-118.8925502
Duck Lake,Lake,38.4753798,-119.97374
Duckwall Creek,Stream,37.9552026,-120.2190772
Dudley Pond,Basin,36.5574505,-119.6320771
Dudley Spring,Spring,36.52228,-119.1017566
Dump Canyon,Valley,38.6070288,-119.6372755
Duncan Canyon,Valley,36.9723947,-119.3646899
Dunn Creek,Stream,37.645766,-120.4099159
Dyer Creek,Stream,37.9796463,-120.2040768
Dynamo Pond,Lake,38.1492934,-119.2234053
Eagle Creek,Stream,38.3429678,-119.832679
Eagle Creek,Stream,38.2379745,-119.3371039
Eagle Peak,Summit,36.9398575,-119.2777399
Eagle Peak,Summit,38.1798461,-119.408612
Eagle Peak,Summit,38.2744707,-119.8481789
Eagle Scout Peak,Summit,36.5457144,-118.5615779
East Boca Canyon,Valley,39.4056067,-120.0847433
East Boca Spring,Spring,39.4159646,-120.0645616
East Kennedy Lake,Lake,36.8774199,-118.652472
East Lake,Lake,36.7259652,-118.4434174
East Slough,Stream,38.634909,-119.505445
East Vidette,Summit,36.7438136,-118.4005552
Edendale Creek,Stream,37.4221603,-120.5288053
Ediza Lake,Lake,37.6851276,-119.1665514
Egypt Creek,Stream,37.2988195,-118.5351139
Elderberry Canyon,Valley,37.384303,-118.6253837
Eldorado Creek,Stream,38.2224178,-120.5718721
Elephant Rock,Summit,38.4464977,-119.9699375
Elephant Rock Lake,Lake,38.4419699,-119.9760497
Elinor Lake,Lake,37.0958147,-118.4800379
Elizabeth Lake,Lake,36.9873429,-118.8421954
